met	id	time	conditon	well nr	Value
Citrulline	50	30.25	6	well 8	8.384100e+00
Citrulline	51	30.25	22	well 9	8.050000e+00
Citrulline	52	30.25	0	well 10	7.959800e+00
Citrulline	53	30.25	6	well 11	7.498100e+00
Citrulline	54	30.25	22	well 12	8.016300e+00
Citrulline	55	30.25	0	well 13	7.902000e+00
Citrulline	56	30.25	6	well 14	7.622800e+00
Citrulline	57	30.25	22	well 15	7.492800e+00
Citrulline	61	47.5	0	well 7	6.579800e+00
Citrulline	62	47.5	6	well 8	6.884300e+00
Citrulline	63	47.5	22	well 9	6.340200e+00
Citrulline	64	47.5	0	well 10	7.048000e+00
Citrulline	65	47.5	6	well 11	6.500300e+00
Citrulline	66	47.5	22	well 12	6.264300e+00
Citrulline	67	47.5	0	well 13	5.747900e+00
Citrulline	68	47.5	6	well 14	6.751900e+00
Citrulline	69	47.5	22	well 15	6.312600e+00
Butyrate	22	6.5	0	well 7	3.286300e+00
Butyrate	23	6.5	6	well 8	3.540400e+00
Butyrate	24	6.5	22	well 9	1.999500e+00
Butyrate	34	23.25	0	well 4	2.398600e+00
Butyrate	35	23.25	6	well 5	2.629600e+00
Butyrate	36	23.25	22	well 6	2.787900e+00
Butyrate	37	23.25	0	well 7	2.815700e+00
Butyrate	38	23.25	6	well 8	3.580500e+00
Butyrate	39	23.25	22	well 9	2.547000e+00
Butyrate	40	23.25	0	well 10	2.538500e+00
Butyrate	41	23.25	6	well 11	2.809400e+00
Butyrate	42	23.25	22	well 12	2.834000e+00
Butyrate	49	30.25	0	well 7	2.787500e+00
Butyrate	50	30.25	6	well 8	3.451900e+00
Butyrate	51	30.25	22	well 9	2.795600e+00
Butyrate	52	30.25	0	well 10	2.897700e+00
Butyrate	53	30.25	6	well 11	2.686600e+00
Butyrate	54	30.25	22	well 12	3.624500e+00
Butyrate	55	30.25	0	well 13	2.277700e+00
Butyrate	56	30.25	6	well 14	3.410200e+00
Butyrate	57	30.25	22	well 15	2.653200e+00
Butyrate	61	47.5	0	well 7	2.838300e+00
Butyrate	62	47.5	6	well 8	2.464200e+00
Butyrate	63	47.5	22	well 9	2.106600e+00
Butyrate	64	47.5	0	well 10	2.655700e+00
Butyrate	65	47.5	6	well 11	3.297800e+00
Butyrate	66	47.5	22	well 12	1.810900e+00
Butyrate	67	47.5	0	well 13	2.547000e+00
Butyrate	68	47.5	6	well 14	2.699100e+00
Butyrate	69	47.5	22	well 15	2.569400e+00
Valine	22	6.5	0	well 7	6.651382e+02
Valine	23	6.5	6	well 8	6.770509e+02
Valine	24	6.5	22	well 9	6.479079e+02
Valine	34	23.25	0	well 4	6.029946e+02
Valine	35	23.25	6	well 5	5.915993e+02
Valine	36	23.25	22	well 6	6.027144e+02
Valine	37	23.25	0	well 7	5.791393e+02
Valine	38	23.25	6	well 8	5.897618e+02
Valine	39	23.25	22	well 9	5.765195e+02
Valine	40	23.25	0	well 10	5.894967e+02
Valine	41	23.25	6	well 11	5.774208e+02
Valine	42	23.25	22	well 12	5.896567e+02
Valine	49	30.25	0	well 7	5.603939e+02
Valine	50	30.25	6	well 8	5.445334e+02
Valine	51	30.25	22	well 9	5.381437e+02
Valine	52	30.25	0	well 10	5.770043e+02
Valine	53	30.25	6	well 11	5.507421e+02
Valine	54	30.25	22	well 12	5.612070e+02
Valine	55	30.25	0	well 13	5.506385e+02
Valine	56	30.25	6	well 14	5.534688e+02
Valine	57	30.25	22	well 15	5.341131e+02
Valine	61	47.5	0	well 7	4.728859e+02
Valine	62	47.5	6	well 8	4.300916e+02
Valine	63	47.5	22	well 9	4.283084e+02
Valine	64	47.5	0	well 10	4.770759e+02
Valine	65	47.5	6	well 11	4.538895e+02
Valine	66	47.5	22	well 12	4.240524e+02
Valine	67	47.5	0	well 13	4.729201e+02
Valine	68	47.5	6	well 14	4.379748e+02
Valine	69	47.5	22	well 15	4.416006e+02
Cystine	22	6.5	0	well 7	1.621526e+02
Cystine	23	6.5	6	well 8	1.634662e+02
Cystine	24	6.5	22	well 9	1.578489e+02
Cystine	34	23.25	0	well 4	1.136828e+02
Cystine	35	23.25	6	well 5	1.052651e+02
Cystine	36	23.25	22	well 6	1.092205e+02
Cystine	37	23.25	0	well 7	1.064917e+02
Cystine	38	23.25	6	well 8	1.031369e+02
Cystine	39	23.25	22	well 9	1.002609e+02
Cystine	40	23.25	0	well 10	1.101430e+02
Cystine	41	23.25	6	well 11	1.040928e+02
