Uniprot ID	t1/2 (hour)
P02671	1.4
P02679	1.6
P07954	6.4
Q02790	11.0
Q13045	3.6
P21333	7.6
O75369	8.4
Q14315	8.3
P02751	0.7
Q8IVH2	4.2
O14976	6.1
Q14697	8.6
P04406	10.4
P41250	8.5
O75323	13.3
Q04446	8.3
Q92616	9.2
P50395	14.3
Q06210	10.1
Q92820	3.3
Q9H3K2	7.2
Q9HC38	12.2
O94925	8.2
P00367	10.3
P49915	11.6
P63244	7.2
P16520	7.4
Q9BVP2	7.4
Q9NVN8	4.1
Q8TBA6	10.1
P17174	6.7
P00505	15.7
P51654	3.4
Q9NQX3	8.2
Q8TD30	6.4
P62993	7.1
P00390	10.1
P78417	8.4
Q9BZE4	11.5
P46976	1.8
P07305	17.4
Q92522	5.8
O75367	8.8
O95479	10.4
Q16836	11.1
P40939	14.7
P55084	7.4
P51610	12.3
P51858	6.4
Q00341	6.7
O14964	10.8
P31937	9.9
P16401	15.7
P16403	9.7
P16402	14.1
P10412	19.4
P68431	5.1
Q6DN03	15.5
Q5QNW6	11.7
Q2TB90	7.1
Q8TCT9	8.1
P09429	12.8
P26583	17.8
P35914	15.4
Q8TB92	10.0
Q01581	5.5
P05114	9.1
P05204	11.0
P50135	5.8
P22626	12.6
P51991	8.7
Q99729	9.6
P07910	10.2
Q14103	8.2
O14979	7.3
P61978	7.5
P52272	9.6
O43390	17.0
Q00839	10.4
Q1KMD3	10.4
Q5SSJ5	12.8
P32754	7.8
P51659	8.3
Q6YN16	10.7
P07900	6.8
P08238	7.8
P14625	9.5
P34932	10.3
P11142	7.0
P38646	7.5
P10809	8.6
P61604	11.1
Q7Z6Z7	7.7
Q9Y4L1	5.0
P41252	10.1
Q9NSE4	15.0
O75874	8.9
P48735	16.9
O43837	3.4
Q13907	6.9
Q01628	5.7
Q9NZI8	10.5
P08833	0.3
Q12905	9.8
Q12906	10.8
Q16891	5.8
P12268	5.6
P46940	10.9
Q13576	10.8
P53990	5.6
Q14571	10.6
P26440	10.7
P14923	6.9
Q9Y4C1	5.1
Q9H3R0	6.2
Q14145	3.8
Q07666	10.2
Q92945	9.3
Q5T5P2	7.8
Q96Q89	5.7
Q99661	8.2
O95239	8.2
Q14974	8.4
P05783	5.3
P48668	8.0
P05787	7.5
Q86UP2	9.7
P28838	11.4
Q6PKG0	6.9
Q71RC2	6.6
Q14847	9.5
P00338	9.8
Q96PV6	13.5
O95202	13.1
P18858	6.7
P42704	7.3
P48449	4.4
O75608	5.5
Q5VWZ2	13.1
Q9Y5V3	1.7
Q9UNF1	5.4
Q9UDY8	6.9
P33908	2.5
P27816	8.7
Q00266	9.8
P31153	8.8
P43243	7.8
P25205	4.0
Q9ULC4	11.2
P40925	9.1
Q14696	9.3
P50579	5.3
Q5JRA6	6.5
Q9BPX6	5.5
Q8N4C8	8.1
P46013	7.7
Q9UBU8	1.8
Q9HCE1	15.3
Q9Y676	3.9
Q92552	5.9
P82675	13.1
Q9UKD2	9.8
P52701	6.5
Q9NZJ7	17.9
Q9Y6C9	36.7
Q6UB35	9.0
P58546	13.5
P55157	10.7
Q14764	4.3
P35580	12.7
P35749	7.0
P35579	6.7
Q96JP2	8.6
Q9NQX4	11.4
Q9GZZ1	5.9
Q13765	7.3
Q9H115	9.2
O43776	9.5
Q9BPX3	4.0
P19338	7.7
O00483	7.3
O75306	7.4
Q8WX92	7.7
Q8N5V2	6.9
Q13423	9.4
Q9UMY1	5.8
Q5SY16	7.3
Q14978	6.4
P46087	15.1
O00567	14.5
Q9Y2X3	10.4
P06748	7.6
P15559	9.7
P01111	11.1
P46459	18.3
Q96P11	6.3
Q9Y266	5.5
Q14980	10.0
P52948	10.3
Q9BXS6	5.8
P04181	7.1
Q02218	6.9
Q9NTK5	9.3
Q96E52	9.3
P13674	7.3
P11940	12.0
Q13310	12.0
Q6VY07	7.7
Q9UNF0	9.9
P43034	14.8
P22234	7.8
P51003	21.2
O43252	6.3
Q99497	9.3
P09874	12.3
P57723	9.3
Q5JVF3	12.2
P35558	3.8
Q9UHG3	7.3
Q6L8Q7	8.5
P30101	9.7
P13667	10.3
Q14554	15.2
Q96HC4	7.0
Q6P996	7.8
P30086	11.9
Q9BY49	14.3
Q86TG7	5.8
Q9GZU2	2.9
O15067	6.9
P17858	5.4
P07737	10.9
P18669	9.9
Q8N0Y7	9.3
P52209	10.1
P00558	8.3
P36871	8.0
O95394	10.2
Q99623	12.6
O43175	8.9
O14832	2.5
Q13492	11.2
Q9Y237	7.7
P30613	10.3
P14618	10.6
Q99541	4.1
P53350	8.3
Q02809	5.4
O00469	5.2
P24928	3.0
P16435	6.8
Q6S8J3	10.7
P62937	8.2
P23284	11.6
Q96QC0	9.7
P67775	6.9
O75170	7.7
Q9NQV6	7.2
Q06830	12.0
P17252	14.2
P78527	6.3
Q99873	7.6
Q8WWY3	9.6
O43172	3.3
Q6P2Q9	4.6
Q9Y520	7.0
Q9Y617	8.5
P25786	5.5
P25788	5.2
P25789	5.9
Q8TAA3	3.3
P20618	6.2
P62191	8.2
P35998	7.5
Q13200	6.4
P26599	11.3
O95758	8.0
Q15185	10.9
P18031	8.5
Q15262	7.9
P53801	3.7
Q9UHX1	8.3
Q9Y606	12.2
P32322	12.9
P06737	10.3
P47897	10.7
P61026	13.3
P61106	11.9
Q9H0T7	7.6
P62820	9.6
Q96E17	9.7
P51149	7.8
P61006	11.7
P78406	11.3
P11234	9.4
P62826	17.5
P49792	4.9
Q9H6Z4	7.1
P61225	10.3
Q9Y3L5	9.9
Q9UHV5	7.6
Q96PK6	7.4
Q9Y4C8	7.8
P49756	7.6
Q9NW13	10.8
P78332	8.2
Q9Y5S9	12.2
P38159	13.0
Q9P258	25.8
Q8TC12	10.5
P35241	9.0
Q6NUK4	7.1
Q6NUM9	9.6
P35251	10.1
P08134	8.0
Q5UIP0	7.2
O43148	9.2
O75116	5.2
P27694	8.7
P62906	6.4
P30050	10.9
P26373	7.5
P40429	12.2
P62829	9.5
P62750	5.0
P83731	9.3
P47914	8.7
P39023	9.7
P62910	9.4
P49207	8.7
P42766	6.4
P18077	9.2
P61927	9.2
P36578	7.8
P46777	19.3
Q02878	7.5
P18124	13.6
P62424	9.0
Q6DKI1	6.0
P62917	15.7
P32969	10.0
P04843	9.5
P62280	8.2
P62249	6.9
P62269	7.8
P15880	8.7
P62266	12.4
P23396	11.2
P61247	10.3
P62701	8.8
P46782	5.2
P62753	10.4
Q15418	8.7
Q15349	9.1
Q9UK32	11.5
P62081	7.6
P08865	7.7
Q9P2E9	11.5
Q92766	4.8
P23921	6.6
Q9NYV6	2.5
Q5JTH9	22.4
O76021	12.4
Q9BY42	4.4
O95197	12.6
Q9NQC3	9.3
P28702	5.6
Q9UBE0	5.4
Q15424	12.4
O00422	6.3
Q9Y6B6	6.8
P49591	8.0
Q15020	8.1
Q9Y3A5	7.4
O75845	6.5
Q99590	7.8
Q8WTV0	4.1
O00767	4.1
P22307	8.9
Q96KG9	8.8
Q99643	5.7
Q15436	11.2
Q15437	9.2
P53992	10.9
O94855	9.9
O94979	9.0
P61619	12.8
Q9UGP8	12.2
Q16181	10.1
Q9UHD8	3.9
P01009	0.4
P05121	1.0
P50454	10.1
Q12874	5.4
O75533	11.3
P31947	6.2
P23246	8.9
Q12872	11.1
O95470	15.1
Q99961	8.0
P34897	10.4
Q96ST3	8.8
Q9NXA8	12.2
P63208	7.9
Q9UP95	5.6
P53985	9.7
O15427	10.5
Q8WUM9	7.0
O75751	10.3
P53007	13.7
Q00325	20.6
Q86VD7	12.2
P12236	34.2
Q99808	14.7
P11169	7.6
Q96QD8	5.0
P08195	10.2
Q8N370	6.0
Q9NWH9	10.7
P28370	4.3
O60264	5.7
Q92922	4.2
Q92925	3.3
O95347	8.2
Q7KZF4	9.7
O75643	5.5
P08579	3.3
Q9NUQ6	10.9
Q01082	8.5
Q9H254	8.3
O15269	4.9
Q14534	5.8
P37108	7.7
P61011	8.6
O76094	12.7
P08240	12.5
Q9BXP5	6.4
P84103	15.7
Q16629	11.7
P05455	6.0
P43307	9.7
Q08945	12.5
Q9NQZ5	3.4
P40763	10.3
P42226	7.1
O95793	8.2
Q13586	6.1
Q93045	6.6
Q9Y3F4	8.7
Q5VSL9	6.2
P53597	12.0
P50225	12.3
P50224	8.8
Q06520	8.9
P55854	7.2
Q9Y5B9	12.0
Q7KZ85	6.6
Q8IYB8	12.9
Q92797	5.0
Q92804	17.1
P37837	7.2
P26639	13.5
O75347	7.4
P23193	9.2
Q13428	13.1
P17987	7.1
Q9NZ01	16.7
Q9Y4R8	7.4
P02787	1.4
Q00059	11.4
P10646	1.2
P02786	4.4
Q8NI27	7.6
Q9Y2W1	12.0
Q01085	9.4
Q9UNS1	3.7
Q04727	7.6
Q9Y490	7.9
Q9HD45	9.4
Q92544	9.2
Q9Y2S6	10.1
P49755	16.7
Q15363	10.5
Q6NUQ4	14.0
P63313	5.6
Q9Y320	9.7
O94826	11.7
P11387	7.7
P11388	9.8
Q02880	9.4
P60174	9.4
P13693	4.7
Q9ULW0	5.4
Q12931	8.3
Q14258	8.2
Q9UPN9	8.8
P43897	11.7
Q6PGP7	6.7
P68363	5.5
Q13885	7.4
Q13509	5.9
P40222	6.1
P26368	11.7
P22314	7.6
Q9UBT2	15.7
Q14157	5.7
P0CG48	4.1
P61081	8.1
Q9NPD8	3.9
Q9BZL1	3.5
Q5T4S7	10.2
Q92575	9.2
O60701	8.8
Q9NYU2	10.9
Q92900	8.9
O60763	9.5
P54578	8.8
Q86UV5	6.6
Q93009	10.9
Q93008	10.8
O95292	9.4
P26640	10.5
Q99536	8.3
P61758	9.7
P18206	8.1
P55072	8.6
P45880	8.8
Q9Y277	10.8
P09327	10.0
Q9UBQ0	7.2
Q8N1B4	4.2
P23381	10.6
Q9Y2W2	10.5
Q969T9	3.8
Q15061	13.0
P47989	11.1
O14980	10.5
P13010	12.2
P12956	9.2
Q9H0D6	5.8
P54577	9.9
P67809	17.1
P16989	11.4
P62258	8.7
P61981	11.1
Q96KR1	10.3
O75844	10.1
O95218	14.0
