Uniprot ID	Gene Symbol
Q13576	IQGAP2
P53990	IST1
Q14571	ITPR2
P26440	IVD
P14923	JUP
Q9Y4C1	KDM3A
Q9H3R0	KDM4C
Q14145	KEAP1
Q07666	KHDRBS1
Q92945	KHSRP
Q5T5P2	KIAA1217
Q96Q89	KIF20B
Q99661	KIF2C
O95239	KIF4A
Q14974	KPNB1
P05783	KRT18
P48668	KRT6C
P05787	KRT8
Q86UP2	KTN1
P28838	LAP3
Q6PKG0	LARP1
Q71RC2	LARP4
Q14847	LASP1
P00338	LDHA
Q96PV6	LENG8
O95202	LETM1
P18858	LIG1
P42704	LRPPRC
P48449	LSS
O75608	LYPLA1
Q5VWZ2	LYPLAL1
Q9Y5V3	MAGED1
Q9UNF1	MAGED2
Q9UDY8	MALT1
P33908	MAN1A1
P27816	MAP4
Q00266	MAT1A
P31153	MAT2A
P43243	MATR3
P25205	MCM3
Q9ULC4	MCTS1
P40925	MDH1
Q14696	MESDC2
P50579	METAP2
Q5JRA6	MIA3
Q9BPX6	MICU1
Q8N4C8	MINK1
P46013	MKI67
Q9UBU8	MORF4L1
Q9HCE1	MOV10
Q9Y676	MRPS18B
Q92552	MRPS27
P82675	MRPS5
Q9UKD2	MRTO4
P52701	MSH6
Q9NZJ7	MTCH1
Q9Y6C9	MTCH2
Q6UB35	MTHFD1L
P58546	MTPN
P55157	MTTP
Q14764	MVP
P35580	MYH10
P35749	MYH11
P35579	MYH9
Q96JP2	MYO15B
Q9NQX4	MYO5C
Q9GZZ1	NAA50
Q13765	NACA
Q9H115	NAPB
O43776	NARS
Q9BPX3	NCAPG
P19338	NCL
O00483	NDUFA4
O75306	NDUFS2
Q8WX92	NELFB
Q8N5V2	NGEF
Q13423	NNT
Q9UMY1	NOL7
Q5SY16	NOL9
Q14978	NOLC1
P46087	NOP2
O00567	NOP56
Q9Y2X3	NOP58
P06748	NPM1
P15559	NQO1
P01111	NRAS
P46459	NSF
Q96P11	NSUN5
Q9Y266	NUDC
Q14980	NUMA1
P52948	NUP98
Q9BXS6	NUSAP1
P04181	OAT
Q02218	OGDH
Q9NTK5	OLA1
Q96E52	OMA1
P13674	P4HA1
P11940	PABPC1
Q13310	PABPC4
Q6VY07	PACS1
Q9UNF0	PACSIN2
P43034	PAFAH1B1
P22234	PAICS
P51003	PAPOLA
O43252	PAPSS1
Q99497	PARK7
P09874	PARP1
P57723	PCBP4
Q5JVF3	PCID2
P35558	PCK1
Q9UHG3	PCYOX1
Q6L8Q7	PDE12
P30101	PDIA3
P13667	PDIA4
Q14554	PDIA5
Q96HC4	PDLIM5
Q6P996	PDXDC1
P30086	PEBP1
Q9BY49	PECR
Q86TG7	PEG10
Q9GZU2	PEG3
O15067	PFAS
P17858	PFKL
P07737	PFN1
P18669	PGAM1
Q8N0Y7	PGAM4
P52209	PGD
P00558	PGK1
P36871	PGM1
O95394	PGM3
Q99623	PHB2
O43175	PHGDH
O14832	PHYH
Q13492	PICALM
Q9Y237	PIN4
P30613	PKLR
P14618	PKM
Q99541	PLIN2
P53350	PLK1
Q02809	PLOD1
O00469	PLOD2
P24928	POLR2A
P16435	POR
Q6S8J3	POTEE
P62937	PPIA
P23284	PPIB
Q96QC0	PPP1R10
P67775	PPP2CA
O75170	PPP6R2
Q9NQV6	PRDM10
Q06830	PRDX1
P17252	PRKCA
P78527	PRKDC
Q99873	PRMT1
Q8WWY3	PRPF31
O43172	PRPF4
Q6P2Q9	PRPF8
Q9Y520	PRRC2C
Q9Y617	PSAT1
P25786	PSMA1
P25788	PSMA3
P25789	PSMA4
Q8TAA3	PSMA8
P20618	PSMB1
P62191	PSMC1
P35998	PSMC2
Q13200	PSMD2
P26599	PTBP1
O95758	PTBP3
Q15185	PTGES3
P18031	PTPN1
Q15262	PTPRK
P53801	PTTG1IP
Q9UHX1	PUF60
Q9Y606	PUS1
P32322	PYCR1
P06737	PYGL
P47897	QARS
P61026	RAB10
P61106	RAB14
Q9H0T7	RAB17
P62820	RAB1A
Q96E17	RAB3C
P51149	RAB7A
P61006	RAB8A
P78406	RAE1
P11234	RALB
P62826	RAN
P49792	RANBP2
Q9H6Z4	RANBP3
P61225	RAP2B
Q9Y3L5	RAP2C
Q9UHV5	RAPGEFL1
Q96PK6	RBM14
Q9Y4C8	RBM19
P49756	RBM25
Q9NW13	RBM28
P78332	RBM6
Q9Y5S9	RBM8A
P38159	RBMX
Q9P258	RCC2
Q8TC12	RDH11
P35241	RDX
Q6NUK4	REEP3
Q6NUM9	RETSAT
P35251	RFC1
P08134	RHOC
Q5UIP0	RIF1
O43148	RNMT
O75116	ROCK2
P27694	RPA1
P62906	RPL10A
P30050	RPL12
P26373	RPL13
P40429	RPL13A
P62829	RPL23
P62750	RPL23A
P83731	RPL24
P47914	RPL29
P39023	RPL3
P62910	RPL32
P49207	RPL34
P42766	RPL35
P18077	RPL35A
P61927	RPL37
P36578	RPL4
P46777	RPL5
Q02878	RPL6
P18124	RPL7
P62424	RPL7A
Q6DKI1	RPL7L1
P62917	RPL8
P32969	RPL9
P04843	RPN1
P62280	RPS11
P62249	RPS16
P62269	RPS18
P15880	RPS2
P62266	RPS23
P23396	RPS3
P61247	RPS3A
P62701	RPS4X
P46782	RPS5
P62753	RPS6
Q15418	RPS6KA1
Q15349	RPS6KA2
Q9UK32	RPS6KA6
P62081	RPS7
P08865	RPSA
Q9P2E9	RRBP1
Q92766	RREB1
P23921	RRM1
Q9NYV6	RRN3
Q5JTH9	RRP12
O76021	RSL1D1
Q9BY42	RTFDC1
O95197	RTN3
Q9NQC3	RTN4
P28702	RXRB
Q9UBE0	SAE1
Q15424	SAFB
O00422	SAP18
Q9Y6B6	SAR1B
P49591	SARS
Q15020	SART3
Q9Y3A5	SBDS
O75845	SC5D
Q99590	SCAF11
Q8WTV0	SCARB1
O00767	SCD
P22307	SCP2
Q96KG9	SCYL1
Q99643	SDHC
Q15436	SEC23A
Q15437	SEC23B
P53992	SEC24C
O94855	SEC24D
O94979	SEC31A
P61619	SEC61A1
Q9UGP8	SEC63
Q16181	SEPT7
Q9UHD8	SEPT9
P01009	SERPINA1
P05121	SERPINE1
P50454	SERPINH1
Q12874	SF3A3
O75533	SF3B1
P31947	SFN
P23246	SFPQ
Q12872	SFSWAP
O95470	SGPL1
Q99961	SH3GL1
P34897	SHMT2
Q96ST3	SIN3A
Q9NXA8	SIRT5
P63208	SKP1
Q9UP95	SLC12A4
P53985	SLC16A1
O15427	SLC16A3
Q8WUM9	SLC20A1
O75751	SLC22A3
P53007	SLC25A1
Q00325	SLC25A3
Q86VD7	SLC25A42
P12236	SLC25A6
Q99808	SLC29A1
P11169	SLC2A3
Q96QD8	SLC38A2
P08195	SLC3A2
Q8N370	SLC43A2
Q9NWH9	SLTM
P28370	SMARCA1
O60264	SMARCA5
Q92922	SMARCC1
Q92925	SMARCD2
O95347	SMC2
Q7KZF4	SND1
O75643	SNRNP200
P08579	SNRPB2
Q9NUQ6	SPATS2L
Q01082	SPTBN1
Q9H254	SPTBN4
O15269	SPTLC1
Q14534	SQLE
P37108	SRP14
P61011	SRP54
O76094	SRP72
P08240	SRPR
Q9BXP5	SRRT
P84103	SRSF3
Q16629	SRSF7
P05455	SSB
P43307	SSR1
Q08945	SSRP1
Q9NQZ5	STARD7
P40763	STAT3
P42226	STAT6
O95793	STAU1
Q13586	STIM1
Q93045	STMN2
Q9Y3F4	STRAP
Q5VSL9	STRIP1
P53597	SUCLG1
P50225	SULT1A1
P50224	SULT1A3
Q06520	SULT2A1
P55854	SUMO3
Q9Y5B9	SUPT16H
Q7KZ85	SUPT6H
Q8IYB8	SUPV3L1
Q92797	SYMPK
Q92804	TAF15
P37837	TALDO1
P26639	TARS
O75347	TBCA
P23193	TCEA1
Q13428	TCOF1
P17987	TCP1
Q9NZ01	TECR
Q9Y4R8	TELO2
P02787	TF
Q00059	TFAM
P10646	TFPI
P02786	TFRC
Q8NI27	THOC2
Q9Y2W1	THRAP3
Q01085	TIAL1
Q9UNS1	TIMELESS
Q04727	TLE4
Q9Y490	TLN1
Q9HD45	TM9SF3
Q92544	TM9SF4
Q9Y2S6	TMA7
P49755	TMED10
Q15363	TMED2
Q6NUQ4	TMEM214
P63313	TMSB10
Q9Y320	TMX2
O94826	TOMM70A
P11387	TOP1
P11388	TOP2A
Q02880	TOP2B
P60174	TPI1
P13693	TPT1
Q9ULW0	TPX2
Q12931	TRAP1
Q14258	TRIM25
Q9UPN9	TRIM33
P43897	TSFM
Q6PGP7	TTC37
P68363	TUBA1B
Q13885	TUBB2A
Q13509	TUBB3
P40222	TXLNA
P26368	U2AF2
P22314	UBA1
Q9UBT2	UBA2
Q14157	UBAP2L
P0CG48	UBC
P61081	UBE2M
Q9NPD8	UBE2T
Q9BZL1	UBL5
Q5T4S7	UBR4
Q92575	UBXN4
O60701	UGDH
Q9NYU2	UGGT1
Q92900	UPF1
O60763	USO1
P54578	USP14
Q86UV5	USP48
Q93009	USP7
Q93008	USP9X
O95292	VAPB
P26640	VARS
Q99536	VAT1
P61758	VBP1
P18206	VCL
P55072	VCP
P45880	VDAC2
Q9Y277	VDAC3
P09327	VIL1
Q9UBQ0	VPS29
Q8N1B4	VPS52
P23381	WARS
Q9Y2W2	WBP11
Q969T9	WBP2
Q15061	WDR43
P47989	XDH
O14980	XPO1
P13010	XRCC5
P12956	XRCC6
Q9H0D6	XRN2
P54577	YARS
P67809	YBX1
P16989	YBX3
P62258	YWHAE
P61981	YWHAG
Q96KR1	ZFR
O75844	ZMPSTE24
O95218	ZRANB2
